date,open,high,low,close,Adj Close,volume,rsi
2002-09-17,90.889999,91.190002,87.75,87.830002,59.281837,47609700,40.53
2002-09-18,87.010002,88.5,86.279999,86.949997,58.687847,54719400,38.46
2002-09-19,85.989998,86.800003,84.699997,84.699997,57.169201,48510500,33.71
2002-09-20,84.919998,85.199997,84.050003,84.349998,57.188202,46325600,33.02
2002-09-23,83.650002,84.059998,82.690002,83.660004,56.720383,46893800,31.66
2002-09-24,82.440002,83.650002,81.849998,82.309998,55.805084,69507000,29.13
2002-09-25,83.370003,84.769997,82.040001,84.349998,57.188202,59294400,37.29
2002-09-26,85.019997,85.970001,84.449997,85.730003,58.123821,53638000,42.14
2002-09-27,85.0,85.629997,82.75,82.75,56.103394,64648300,35.72
2002-09-30,82.0,82.800003,80.900002,81.790001,55.45256,73096400,33.92
2002-10-01,82.43,85.769997,81.470001,85.720001,58.117039,67198100,45.91
2002-10-02,84.690002,85.529999,82.599998,83.150002,56.374599,56749100,40.71
2002-10-03,83.139999,84.599998,81.949997,82.309998,55.805084,55547000,39.15
2002-10-04,82.800003,82.919998,79.580002,80.800003,54.78133,68483700,36.44
2002-10-07,80.059998,81.199997,78.550003,79.129997,53.649109,53188000,33.67
2002-10-08,79.809998,81.309998,78.199997,80.370003,54.489811,79531000,37.47
2002-10-09,79.089996,79.699997,77.779999,78.099998,52.950771,79956400,33.67
2002-10-10,77.940002,81.07,77.07,80.629997,54.666088,76749000,40.87
2002-10-11,82.099998,84.730003,81.82,84.160004,57.059376,82308300,49.17
2002-10-14,83.199997,84.849998,83.040001,84.629997,57.378036,40631900,50.17
2002-10-15,86.989998,88.720001,86.849998,88.699997,60.137417,82320300,57.91
2002-10-16,87.410004,87.800003,85.919998,86.550003,58.679783,62977800,53.21
2002-10-17,88.870003,89.300003,87.849998,88.269997,59.845898,68534100,56.27
2002-10-18,87.650002,89.110001,86.93,88.639999,60.096745,47448700,56.92
2002-10-21,88.120003,90.5,87.57,90.169998,61.13409,45859100,59.61
2002-10-22,89.050003,90.010002,88.519997,89.519997,60.693386,40966800,57.95
2002-10-23,88.769997,90.269997,87.68,90.199997,61.15443,54905800,59.23
2002-10-24,90.75,90.900002,88.099998,88.360001,59.906948,54987400,54.42
2002-10-25,88.209999,90.389999,87.940002,90.199997,61.15443,43672100,58.08
2002-10-28,91.150002,91.290001,88.849998,89.610001,60.754414,39416100,56.52
2002-10-29,89.080002,89.489998,87.0,88.57,60.049324,59508200,53.76
2002-10-30,88.68,89.959999,88.230003,89.43,60.632366,41688600,55.69
2002-10-31,89.660004,90.300003,88.190002,88.519997,60.015392,41620600,53.17
2002-11-01,88.349998,90.82,88.050003,90.269997,61.201855,51878900,57.18
2002-11-04,91.800003,92.940002,90.900002,91.129997,61.784946,49080600,59.04
2002-11-05,90.839996,92.07,90.839996,91.849998,62.273071,37270800,60.58
2002-11-06,92.480003,93.07,90.790001,93.040001,63.079895,65013100,63.05
2002-11-07,92.019997,92.220001,90.220001,90.760002,61.534073,51572000,55.82
2002-11-08,90.529999,91.57,89.519997,89.650002,60.781502,37905400,52.66
2002-11-11,89.510002,89.559998,87.800003,88.260002,59.839134,33505100,48.91
2002-11-12,88.660004,89.93,88.370003,88.959999,60.313705,37724500,50.81
2002-11-13,88.32,89.739998,87.449997,89.050003,60.374737,63891500,51.06
2002-11-14,90.07,91.0,89.75,90.730003,61.513744,31896800,55.62
2002-11-15,90.0,91.550003,89.949997,91.400002,61.968002,39152100,57.33
2002-11-18,92.150002,92.150002,90.349998,90.480003,61.344242,28934800,54.24
2002-11-19,90.019997,91.099998,89.760002,90.360001,61.262894,32806600,53.84
2002-11-20,89.980003,92.419998,89.949997,92.370003,62.625641,36688400,59.34
2002-11-21,92.599998,94.190002,92.43,94.089996,63.791763,55128200,63.37
2002-11-22,93.480003,94.269997,93.269997,93.419998,63.337528,32513800,60.84
2002-11-25,93.43,94.260002,92.769997,93.480003,63.378216,33846400,60.99
2002-11-26,93.07,93.449997,91.620003,91.699997,62.171421,42284700,54.34
2002-11-27,92.519997,94.650002,92.43,94.279999,63.920605,37764000,60.98
2002-11-29,94.800003,94.949997,93.769997,93.980003,63.717205,19385700,59.89
2002-12-02,95.470001,96.050003,93.220001,94.129997,63.818893,49911900,60.27
2002-12-03,93.25,93.400002,92.349998,92.870003,62.964668,34407700,55.48
2002-12-04,91.769997,93.139999,91.43,92.449997,62.679893,64040800,53.94
2002-12-05,92.730003,92.800003,91.099998,91.43,61.988327,36724900,50.3
2002-12-06,90.120003,92.169998,89.980003,92.029999,62.395119,49824100,52.34
2002-12-09,91.07,91.459999,89.480003,89.5,60.679813,36789600,44.11
2002-12-10,90.019997,91.099998,89.760002,90.699997,61.493408,33319900,48.26
2002-12-11,90.419998,91.620003,90.160004,90.779999,61.547626,39201000,48.54
2002-12-12,91.199997,91.489998,90.199997,90.769997,61.540871,34465600,48.5
2002-12-13,89.910004,90.480003,89.269997,89.339996,60.57132,36862200,43.7
2002-12-16,89.82,91.790001,89.660004,91.650002,62.137497,37098400,51.98
2002-12-17,91.370003,91.739998,90.739998,90.849998,61.595097,32353900,49.27
